1621789281.3054025, -0.099, 0.924, 0.044
1621789281.306398, -0.097, 0.91, 0.032
1621789281.3073518, -0.066, 0.913, 0.024
1621789281.308282, -0.027, 0.895, 0.034
1621789281.309494, -0.06, 0.884, 0.061
1621789281.3104355, -0.083, 0.941, 0.043
1621789281.3113651, -0.067, 0.951, 0.037
1621789281.312305, -0.05, 0.9, 0.024
1621789281.3135796, -0.069, 0.883, 0.011
1621789281.3145204, -0.09, 0.912, 0.033
1621789281.3154361, -0.098, 0.93, 0.068
1621789281.3163462, -0.098, 0.928, 0.054
1621789281.3172555, -0.062, 0.928, 0.042
1621789281.3181658, -0.044, 0.89, 0.031
1621789281.3190737, -0.044, 0.89, 0.031
1621789281.3199809, -0.066, 0.906, -0.004
1621789281.3208883, -0.059, 0.935, 0.027
1621789281.321797, -0.05, 0.89, 0.052
1621789281.3227046, -0.092, 0.896, 0.061
1621789281.3236122, -0.108, 0.928, 0.039
1621789281.324519, -0.078, 0.933, 0.03
1621789281.325429, -0.06, 0.903, 0.027
1621789281.3263369, -0.074, 0.905, 0.034
1621789281.3272438, -0.085, 0.924, 0.062
1621789281.32815, -0.045, 0.918, 0.046
1621789281.329057, -0.031, 0.88, 0.043
1621789281.3299646, -0.031, 0.88, 0.043
1621789281.3308713, -0.055, 0.905, 0.006
1621789281.3317785, -0.074, 0.923, 0.025
1621789281.3326855, -0.11, 0.894, 0.03
1621789281.3335917, -0.129, 0.947, 0.056
1621789281.3344984, -0.06, 0.927, 0.082
1621789281.335406, -0.014, 0.877, 0.071
1621789281.336313, -0.071, 0.904, 0.033
1621789281.3372202, -0.083, 0.956, -0.004
1621789281.3381271, -0.065, 0.915, 0.023
1621789281.3390343, -0.059, 0.875, 0.039
1621789281.339941, -0.059, 0.875, 0.039
1621789281.340847, -0.08, 0.903, 0.049
1621789281.341754, -0.082, 0.933, 0.04
1621789281.3426604, -0.061, 0.923, 0.049
1621789281.3435667, -0.093, 0.906, 0.024
1621789281.3444734, -0.086, 0.934, 0.022
1621789281.345397, -0.022, 0.903, 0.039
1621789281.3463054, -0.032, 0.864, 0.054
1621789281.3472111, -0.11, 0.921, 0.04
1621789281.3481169, -0.101, 0.963, 0.029
1621789281.3490431, -0.052, 0.898, 0.034
1621789281.3499506, -0.058, 0.873, 0.021
1621789281.3508573, -0.083, 0.924, 0.041
1621789281.351764, -0.083, 0.924, 0.041
1621789281.3526704, -0.087, 0.926, 0.061
1621789281.3535767, -0.08, 0.919, 0.055
1621789281.3544831, -0.076, 0.93, 0.04
1621789281.3553913, -0.049, 0.913, 0.001
1621789281.3562996, -0.026, 0.884, 0.001
1621789281.3572068, -0.058, 0.89, 0.039
1621789281.3581135, -0.124, 0.922, 0.043
1621789281.3590236, -0.116, 0.953, 0.055
1621789281.359932, -0.045, 0.923, 0.064
1621789281.3608384, -0.032, 0.886, 0.042
1621789281.3617442, -0.032, 0.886, 0.042
1621789281.3626502, -0.069, 0.918, 0.008
1621789281.363557, -0.078, 0.931, 0.03
1621789281.3644638, -0.068, 0.906, 0.051
1621789281.3653715, -0.08, 0.907, 0.04
1621789281.3662782, -0.061, 0.925, 0.033
1621789281.3671844, -0.044, 0.907, 0.014
1621789281.3680902, -0.087, 0.895, 0.016
1621789281.3689964, -0.132, 0.927, 0.023
1621789281.3699028, -0.089, 0.935, 0.052
1621789281.3708093, -0.017, 0.877, 0.081
1621789281.3717155, -0.055, 0.887, 0.055
1621789281.372623, -0.055, 0.887, 0.055
1621789281.3735294, -0.086, 0.95, 0.02
1621789281.3744352, -0.067, 0.934, 0.0
1621789281.375344, -0.072, 0.897, 0.018
1621789281.3762517, -0.08, 0.901, 0.031
1621789281.3771584, -0.068, 0.915, 0.045
1621789281.3780649, -0.073, 0.9, 0.051
1621789281.3789713, -0.092, 0.917, 0.038
1621789281.379878, -0.083, 0.939, 0.023
1621789281.3807836, -0.056, 0.906, 0.031
1621789281.3816895, -0.032, 0.887, 0.039
1621789281.3825958, -0.073, 0.918, 0.047
1621789281.3835022, -0.073, 0.918, 0.047
1621789281.384409, -0.101, 0.927, 0.044
1621789281.3853261, -0.081, 0.926, 0.022
1621789281.3862443, -0.076, 0.91, 0.032
1621789281.3871992, -0.055, 0.882, 0.021
1621789281.3881474, -0.071, 0.895, 0.059
1621789281.389069, -0.096, 0.933, 0.062
1621789281.389989, -0.082, 0.941, 0.051
1621789281.3909311, -0.068, 0.91, 0.036
1621789281.3918846, -0.046, 0.907, 0.01
1621789281.3928292, -0.034, 0.891, 0.011
1621789281.393752, -0.069, 0.893, 0.032
1621789281.3946688, -0.115, 0.927, 0.056
1621789281.3956127, -0.093, 0.94, 0.062
1621789281.396541, -0.062, 0.898, 0.058
1621789281.3974817, -0.054, 0.9, 0.02
1621789281.398426, -0.062, 0.924, 0.014
1621789281.3993676, -0.062, 0.924, 0.014
1621789281.400311, -0.066, 0.913, 0.033
1621789281.4012642, -0.068, 0.911, 0.055
1621789281.4022005, -0.071, 0.91, 0.052
1621789281.4031343, -0.06, 0.91, 0.043
1621789281.4040852, -0.071, 0.912, 0.029
1621789281.4050417, -0.092, 0.907, 0.029
1621789281.40664, -0.075, 0.927, 0.051
1621789281.4076166, -0.043, 0.891, 0.063
1621789281.4085717, -0.059, 0.912, 0.042
1621789281.4095092, -0.059, 0.943, 0.017
1621789281.410455, -0.059, 0.902, 0.021
1621789281.4113905, -0.104, 0.892, 0.026
1621789281.4123268, -0.104, 0.927, 0.04
1621789281.4132605, -0.104, 0.927, 0.04
1621789281.4142103, -0.05, 0.901, 0.056
1621789281.4151542, -0.05, 0.893, 0.057
1621789281.4160826, -0.084, 0.933, 0.038
1621789281.4170053, -0.096, 0.935, 0.018
1621789281.4179153, -0.073, 0.899, 0.032
1621789281.4188218, -0.049, 0.893, 0.032
1621789281.4197288, -0.063, 0.914, 0.062
1621789281.420634, -0.071, 0.917, 0.052
1621789281.4215395, -0.092, 0.919, 0.041
1621789281.422447, -0.104, 0.923, 0.023
1621789281.4233587, -0.067, 0.911, 0.021
1621789281.4242663, -0.048, 0.895, 0.049
1621789281.425176, -0.066, 0.917, 0.057
1621789281.426082, -0.066, 0.917, 0.057
1621789281.426988, -0.085, 0.932, 0.056
1621789281.4278939, -0.075, 0.926, 0.025
1621789281.4288003, -0.048, 0.906, 0.006
1621789281.4297063, -0.049, 0.89, 0.01
1621789281.4306128, -0.093, 0.908, 0.042
1621789281.431519, -0.097, 0.919, 0.056
1621789281.4324248, -0.077, 0.924, 0.072
1621789281.4333305, -0.069, 0.905, 0.06
1621789281.4342353, -0.058, 0.922, 0.023
1621789281.4351428, -0.054, 0.924, 0.021
1621789281.4360492, -0.054, 0.924, 0.021
1621789281.436955, -0.045, 0.904, 0.031
1621789281.43786, -0.086, 0.904, 0.047
1621789281.4387665, -0.111, 0.934, 0.038
1621789281.439673, -0.064, 0.925, 0.042
1621789281.4405785, -0.057, 0.878, 0.025
1621789281.441484, -0.09, 0.921, 0.025
1621789281.4423897, -0.084, 0.933, 0.038
1621789281.4432976, -0.076, 0.906, 0.055
1621789281.4442039, -0.065, 0.916, 0.06
1621789281.4451137, -0.022, 0.928, 0.046
1621789281.4460194, -0.035, 0.882, 0.043
1621789281.4469259, -0.035, 0.882, 0.043
1621789281.4478304, -0.11, 0.9, -0.01
1621789281.448737, -0.132, 0.948, 0.008
1621789281.449643, -0.063, 0.907, 0.059
1621789281.4505486, -0.036, 0.877, 0.074
1621789281.4514544, -0.074, 0.921, 0.059
1621789281.45236, -0.066, 0.955, 0.036
1621789281.4532657, -0.053, 0.905, 0.019
1621789281.4541748, -0.073, 0.898, 0.021
1621789281.4550812, -0.079, 0.917, 0.028
1621789281.4559867, -0.058, 0.91, 0.054
1621789281.4568927, -0.076, 0.906, 0.064
1621789281.4577985, -0.076, 0.906, 0.064
1621789281.4587045, -0.102, 0.928, 0.033
1621789281.4596097, -0.092, 0.93, 0.026
1621789281.4605162, -0.06, 0.889, 0.028
1621789281.4614213, -0.06, 0.9, 0.044
1621789281.4623268, -0.074, 0.93, 0.056
1621789281.4632323, -0.06, 0.923, 0.062
1621789281.4641378, -0.078, 0.91, 0.033
1621789281.4650588, -0.076, 0.926, 0.005
1621789281.465968, -0.055, 0.902, 0.015
1621789281.4668744, -0.062, 0.879, 0.038
1621789281.4677813, -0.093, 0.913, 0.059
1621789281.4686868, -0.093, 0.913, 0.059
1621789281.4695926, -0.114, 0.93, 0.068
1621789281.4704986, -0.064, 0.928, 0.059
1621789281.4714046, -0.019, 0.897, 0.041
1621789281.472311, -0.043, 0.9, 0.017
1621789281.473217, -0.086, 0.933, 0.024
1621789281.474122, -0.101, 0.924, 0.046
1621789281.475029, -0.096, 0.911, 0.049
1621789281.475934, -0.066, 0.905, 0.04
1621789281.476839, -0.044, 0.904, 0.023
1621789281.477745, -0.072, 0.899, 0.031
1621789281.4786506, -0.072, 0.899, 0.031
1621789281.4795558, -0.087, 0.926, 0.034
1621789281.4804616, -0.087, 0.926, 0.054
1621789281.481366, -0.059, 0.906, 0.06
1621789281.4822717, -0.042, 0.926, 0.039
1621789281.4831774, -0.052, 0.915, 0.025
1621789281.484083, -0.082, 0.903, 0.01
1621789281.4849913, -0.123, 0.919, 0.02
1621789281.4858975, -0.087, 0.917, 0.052
1621789281.486803, -0.039, 0.893, 0.074
1621789281.4877076, -0.045, 0.907, 0.058
1621789281.4888039, -0.07, 0.932, 0.035
1621789281.489717, -0.088, 0.925, 0.009
1621789281.4906247, -0.085, 0.913, 0.006
1621789281.491532, -0.085, 0.913, 0.006
1621789281.4924383, -0.056, 0.9, 0.026
1621789281.4933448, -0.057, 0.895, 0.055
1621789281.4942508, -0.086, 0.912, 0.063
1621789281.4951577, -0.088, 0.938, 0.042
1621789281.4960628, -0.067, 0.918, 0.034
1621789281.4969683, -0.041, 0.883, 0.02
1621789281.4978747, -0.063, 0.896, 0.035
1621789281.4987803, -0.078, 0.934, 0.046
1621789281.499686, -0.075, 0.934, 0.049
1621789281.5005915, -0.083, 0.908, 0.035
1621789281.5014973, -0.074, 0.91, 0.009
1621789281.5024025, -0.074, 0.91, 0.009
1621789281.5033078, -0.069, 0.9, 0.017
1621789281.5042136, -0.079, 0.895, 0.042
1621789281.5051324, -0.087, 0.917, 0.061
1621789281.506616, -0.067, 0.922, 0.018
1621789281.507587, -0.028, 0.914, 0.011
1621789281.5085301, -0.043, 0.893, 0.014
1621789281.5094638, -0.091, 0.906, 0.03
1621789281.5103793, -0.091, 0.906, 0.03
1621789281.5112944, -0.118, 0.931, 0.058
1621789281.5122364, -0.113, 0.93, 0.056
1621789281.513178, -0.051, 0.904, 0.046
1621789281.5141008, -0.033, 0.893, 0.025
1621789281.5150146, -0.05, 0.92, 0.018
1621789281.5159416, -0.064, 0.912, 0.033
1621789281.5168734, -0.089, 0.908, 0.053
1621789281.5178137, -0.072, 0.928, 0.043
1621789281.5187502, -0.05, 0.907, 0.048
1621789281.5196874, -0.077, 0.903, 0.035
1621789281.5206287, -0.103, 0.936, 0.019
1621789281.521566, -0.086, 0.913, 0.032
1621789281.5225053, -0.066, 0.878, 0.065
1621789281.5234427, -0.063, 0.908, 0.05
1621789281.524383, -0.058, 0.938, 0.043
1621789281.5253394, -0.054, 0.922, 0.041
1621789281.5262713, -0.07, 0.917, 0.012
1621789281.5272055, -0.07, 0.917, 0.012
1621789281.5281446, -0.086, 0.917, 0.03
1621789281.5290775, -0.063, 0.905, 0.032
1621789281.5300236, -0.063, 0.891, 0.056
1621789281.5309663, -0.102, 0.906, 0.058
1621789281.5319002, -0.11, 0.939, 0.04
1621789281.5328357, -0.055, 0.924, 0.042
1621789281.5337706, -0.03, 0.874, 0.037
1621789281.5347145, -0.069, 0.896, 0.031
1621789281.5356536, -0.073, 0.957, 0.034
1621789281.5365803, -0.061, 0.911, 0.054
1621789281.5375004, -0.088, 0.897, 0.029
1621789281.53841, -0.099, 0.926, 0.002
1621789281.539317, -0.061, 0.904, 0.012
1621789281.5402243, -0.067, 0.884, 0.052
1621789281.5411303, -0.095, 0.92, 0.063
1621789281.5420365, -0.095, 0.92, 0.063
1621789281.5429423, -0.08, 0.944, 0.051
1621789281.5438495, -0.034, 0.91, 0.046
1621789281.5447586, -0.024, 0.893, 0.017
